movement_id,ingredient_id,movement_type,quantity,order_item_id,purchase_id,occurred_at,notes
1,8,sale,-2.0,1.0,,2024-09-01 17:05:00,
2,9,sale,-0.08,1.0,,2024-09-01 17:05:00,
3,10,sale,-0.06,1.0,,2024-09-01 17:05:00,
4,12,sale,-0.01,1.0,,2024-09-01 17:05:00,
5,17,sale,-1.0,1.0,,2024-09-01 17:05:00,
6,1,sale,-0.018,2.0,,2024-09-01 17:05:00,
7,2,sale,-0.12,2.0,,2024-09-01 17:05:00,
8,15,sale,-1.0,2.0,,2024-09-01 17:05:00,
9,6,sale,-0.03,3.0,,2024-09-01 18:41:00,
10,2,sale,-0.18,3.0,,2024-09-01 18:41:00,
11,15,sale,-1.0,3.0,,2024-09-01 18:41:00,
12,13,sale,-2.0,4.0,,2024-09-01 08:51:00,
13,7,sale,-0.24,4.0,,2024-09-01 08:51:00,
14,16,sale,-2.0,4.0,,2024-09-01 08:51:00,
15,1,sale,-0.02,5.0,,2024-09-01 17:49:00,
16,15,sale,-1.0,5.0,,2024-09-01 17:49:00,
17,1,sale,-0.02,6.0,,2024-09-01 16:21:00,
18,15,sale,-1.0,6.0,,2024-09-01 16:21:00,
19,11,sale,-1.0,7.0,,2024-09-01 13:58:00,
20,17,sale,-1.0,7.0,,2024-09-01 13:58:00,
21,14,sale,-0.25,8.0,,2024-09-01 10:46:00,
22,7,sale,-0.1,8.0,,2024-09-01 10:46:00,
23,16,sale,-1.0,8.0,,2024-09-01 10:46:00,
24,14,sale,-0.25,9.0,,2024-09-01 09:49:00,
25,7,sale,-0.1,9.0,,2024-09-01 09:49:00,
26,16,sale,-1.0,9.0,,2024-09-01 09:49:00,
27,8,sale,-2.0,10.0,,2024-09-01 09:49:00,
28,9,sale,-0.08,10.0,,2024-09-01 09:49:00,
29,10,sale,-0.06,10.0,,2024-09-01 09:49:00,
30,12,sale,-0.01,10.0,,2024-09-01 09:49:00,
31,17,sale,-1.0,10.0,,2024-09-01 09:49:00,
32,8,sale,-2.0,11.0,,2024-09-01 09:14:00,
33,9,sale,-0.08,11.0,,2024-09-01 09:14:00,
34,10,sale,-0.06,11.0,,2024-09-01 09:14:00,
35,12,sale,-0.01,11.0,,2024-09-01 09:14:00,
36,17,sale,-1.0,11.0,,2024-09-01 09:14:00,
37,1,sale,-0.02,12.0,,2024-09-01 09:14:00,
38,18,sale,-0.015,12.0,,2024-09-01 09:14:00,
39,7,sale,-0.15,12.0,,2024-09-01 09:14:00,
40,16,sale,-1.0,12.0,,2024-09-01 09:14:00,
41,1,sale,-0.032,13.0,,2024-09-01 10:06:00,
42,2,sale,-0.2,13.0,,2024-09-01 10:06:00,
43,5,sale,-40.0,13.0,,2024-09-01 10:06:00,
44,7,sale,-0.3,13.0,,2024-09-01 10:06:00,
45,16,sale,-2.0,13.0,,2024-09-01 10:06:00,
46,1,sale,-0.02,14.0,,2024-09-01 09:49:00,
47,18,sale,-0.015,14.0,,2024-09-01 09:49:00,
48,7,sale,-0.15,14.0,,2024-09-01 09:49:00,
49,16,sale,-1.0,14.0,,2024-09-01 09:49:00,
50,8,sale,-2.0,15.0,,2024-09-01 09:49:00,
51,9,sale,-0.08,15.0,,2024-09-01 09:49:00,
52,10,sale,-0.06,15.0,,2024-09-01 09:49:00,
53,12,sale,-0.01,15.0,,2024-09-01 09:49:00,
54,17,sale,-1.0,15.0,,2024-09-01 09:49:00,
55,14,sale,-0.25,16.0,,2024-09-01 17:03:00,
56,7,sale,-0.1,16.0,,2024-09-01 17:03:00,
57,16,sale,-1.0,16.0,,2024-09-01 17:03:00,
58,1,sale,-0.016,17.0,,2024-09-01 09:54:00,
59,2,sale,-0.1,17.0,,2024-09-01 09:54:00,
60,5,sale,-20.0,17.0,,2024-09-01 09:54:00,
61,7,sale,-0.15,17.0,,2024-09-01 09:54:00,
62,16,sale,-1.0,17.0,,2024-09-01 09:54:00,
63,13,sale,-2.0,18.0,,2024-09-01 15:30:00,
64,7,sale,-0.24,18.0,,2024-09-01 15:30:00,
65,16,sale,-2.0,18.0,,2024-09-01 15:30:00,
66,1,sale,-0.016,19.0,,2024-09-01 16:27:00,
67,2,sale,-0.1,19.0,,2024-09-01 16:27:00,
68,5,sale,-20.0,19.0,,2024-09-01 16:27:00,
69,7,sale,-0.15,19.0,,2024-09-01 16:27:00,
70,16,sale,-1.0,19.0,,2024-09-01 16:27:00,
71,6,sale,-0.06,20.0,,2024-09-01 16:27:00,
72,2,sale,-0.36,20.0,,2024-09-01 16:27:00,
73,15,sale,-2.0,20.0,,2024-09-01 16:27:00,
74,1,sale,-0.02,21.0,,2024-09-01 12:15:00,
