order_id,branch_id,created_at,in_or_out,payment_method
1,1,2024-09-01 17:05:00,takeout,cash
2,1,2024-09-01 18:41:00,takeout,card
3,1,2024-09-01 08:51:00,takeout,card
4,1,2024-09-01 17:49:00,dine_in,cash
5,1,2024-09-01 16:21:00,dine_in,cash
6,1,2024-09-01 13:58:00,takeout,cash
7,1,2024-09-01 10:46:00,dine_in,card
8,1,2024-09-01 09:49:00,takeout,cash
9,1,2024-09-01 09:14:00,dine_in,card
10,1,2024-09-01 10:06:00,dine_in,cash
11,1,2024-09-01 09:49:00,dine_in,cash
12,1,2024-09-01 17:03:00,dine_in,cash
13,1,2024-09-01 09:54:00,takeout,cash
14,1,2024-09-01 15:30:00,dine_in,cash
15,1,2024-09-01 16:27:00,takeout,card
16,1,2024-09-01 12:15:00,dine_in,cash
17,1,2024-09-01 12:18:00,takeout,card
18,1,2024-09-01 13:37:00,dine_in,cash
19,1,2024-09-01 18:59:00,takeout,cash
20,1,2024-09-01 17:34:00,dine_in,cash
21,1,2024-09-01 13:48:00,dine_in,cash
22,1,2024-09-01 18:16:00,takeout,cash
23,1,2024-09-01 15:43:00,dine_in,card
24,1,2024-09-01 10:43:00,dine_in,card
25,1,2024-09-01 09:31:00,takeout,cash
26,1,2024-09-01 10:02:00,takeout,card
27,1,2024-09-01 10:00:00,dine_in,cash
28,1,2024-09-01 09:56:00,takeout,cash
29,1,2024-09-01 08:17:00,takeout,card
30,1,2024-09-01 16:30:00,dine_in,cash
31,1,2024-09-01 18:29:00,takeout,card
32,2,2024-09-01 13:01:00,dine_in,card
33,2,2024-09-01 09:20:00,takeout,card
34,2,2024-09-01 18:31:00,dine_in,card
35,2,2024-09-01 08:52:00,dine_in,card
36,2,2024-09-01 10:03:00,dine_in,cash
37,2,2024-09-01 08:25:00,dine_in,card
38,2,2024-09-01 17:35:00,dine_in,cash
39,2,2024-09-01 12:16:00,dine_in,cash
40,2,2024-09-01 18:02:00,takeout,cash
41,2,2024-09-01 13:19:00,dine_in,card
42,2,2024-09-01 09:30:00,dine_in,card
43,2,2024-09-01 11:26:00,dine_in,card
44,2,2024-09-01 17:22:00,takeout,card
45,2,2024-09-01 16:30:00,takeout,cash
46,2,2024-09-01 19:51:00,takeout,cash
47,2,2024-09-01 10:43:00,takeout,cash
48,2,2024-09-01 13:35:00,takeout,card
49,2,2024-09-01 08:43:00,dine_in,card
50,2,2024-09-01 10:05:00,dine_in,cash
51,2,2024-09-01 12:44:00,takeout,card
52,2,2024-09-01 08:22:00,takeout,card
53,2,2024-09-01 07:05:00,dine_in,card
54,2,2024-09-01 18:27:00,dine_in,card
55,2,2024-09-01 15:37:00,dine_in,card
56,2,2024-09-01 09:05:00,takeout,card
57,2,2024-09-01 14:58:00,takeout,cash
58,2,2024-09-01 17:48:00,takeout,card
59,2,2024-09-01 13:32:00,takeout,card
60,2,2024-09-01 10:44:00,takeout,card
61,2,2024-09-01 16:24:00,dine_in,cash
62,2,2024-09-01 10:10:00,takeout,card
63,2,2024-09-01 13:07:00,dine_in,cash
64,2,2024-09-01 15:07:00,dine_in,cash
65,2,2024-09-01 07:17:00,dine_in,card
66,2,2024-09-01 10:25:00,dine_in,card
67,2,2024-09-01 13:48:00,takeout,card
68,1,2024-09-02 13:44:00,dine_in,cash
69,1,2024-09-02 10:03:00,takeout,cash
70,1,2024-09-02 11:44:00,takeout,card
71,1,2024-09-02 15:20:00,dine_in,cash
72,1,2024-09-02 20:00:00,takeout,card
73,1,2024-09-02 13:55:00,takeout,cash
74,1,2024-09-02 13:09:00,dine_in,card
75,1,2024-09-02 15:33:00,takeout,card
76,1,2024-09-02 11:38:00,dine_in,card
77,1,2024-09-02 17:23:00,dine_in,card
78,1,2024-09-02 15:20:00,dine_in,cash
79,1,2024-09-02 12:25:00,dine_in,card
80,1,2024-09-02 20:18:00,dine_in,card
81,1,2024-09-02 18:04:00,dine_in,card
82,1,2024-09-02 16:06:00,dine_in,card
83,1,2024-09-02 13:52:00,takeout,card
84,1,2024-09-02 13:59:00,takeout,card
85,2,2024-09-02 17:00:00,takeout,card
86,2,2024-09-02 17:51:00,dine_in,cash
87,2,2024-09-02 10:24:00,takeout,cash
88,2,2024-09-02 10:51:00,dine_in,card
89,2,2024-09-02 17:32:00,dine_in,cash
90,2,2024-09-02 16:59:00,dine_in,card
91,2,2024-09-02 12:57:00,dine_in,cash
92,2,2024-09-02 18:38:00,takeout,card
93,2,2024-09-02 09:20:00,takeout,cash
94,2,2024-09-02 15:52:00,takeout,card
95,2,2024-09-02 19:46:00,dine_in,cash
96,2,2024-09-02 10:30:00,dine_in,cash
97,2,2024-09-02 09:58:00,dine_in,cash
98,2,2024-09-02 07:18:00,dine_in,card
99,2,2024-09-02 17:31:00,dine_in,cash
100,2,2024-09-02 11:15:00,dine_in,card
101,2,2024-09-02 08:19:00,dine_in,card
102,2,2024-09-02 14:08:00,takeout,cash
103,2,2024-09-02 09:53:00,dine_in,card
104,2,2024-09-02 17:46:00,dine_in,card
105,2,2024-09-02 07:44:00,dine_in,cash
106,2,2024-09-02 14:20:00,dine_in,cash
107,1,2024-09-03 18:05:00,takeout,card
108,1,2024-09-03 10:52:00,takeout,card
109,1,2024-09-03 18:50:00,takeout,card
110,1,2024-09-03 14:15:00,takeout,card
111,1,2024-09-03 17:21:00,dine_in,cash
112,1,2024-09-03 09:31:00,takeout,cash
113,1,2024-09-03 16:39:00,takeout,card
114,1,2024-09-03 17:43:00,dine_in,cash
115,1,2024-09-03 18:37:00,takeout,cash
116,1,2024-09-03 09:23:00,dine_in,cash
117,1,2024-09-03 11:01:00,dine_in,cash
118,1,2024-09-03 13:57:00,dine_in,card
119,1,2024-09-03 15:40:00,dine_in,cash
120,1,2024-09-03 18:29:00,takeout,card
121,1,2024-09-03 14:24:00,dine_in,cash
122,1,2024-09-03 16:32:00,dine_in,cash
123,1,2024-09-03 09:36:00,takeout,cash
124,1,2024-09-03 09:56:00,dine_in,cash
125,1,2024-09-03 18:44:00,dine_in,card
126,1,2024-09-03 18:20:00,dine_in,card
127,1,2024-09-03 12:21:00,takeout,cash
128,1,2024-09-03 13:07:00,dine_in,cash
129,1,2024-09-03 11:54:00,dine_in,card
130,1,2024-09-03 17:36:00,dine_in,card
131,2,2024-09-03 17:39:00,takeout,card
132,2,2024-09-03 15:37:00,takeout,cash
133,2,2024-09-03 09:26:00,dine_in,card
134,2,2024-09-03 19:09:00,dine_in,cash
135,2,2024-09-03 16:16:00,takeout,card
