purchase_id,ingredient_id,branch_id,quantity,unit_cost_real,supplier_name,purchased_at
1,1,1,24.71,215.05,Café Origen SA,2024-09-02 08:00:00
2,2,1,267.21,23.51,Lácteos del Valle,2024-09-02 08:00:00
3,3,1,36.49,44.0,Lácteos del Valle,2024-09-02 08:00:00
4,4,1,4849.98,0.35,Distribuidora Sabores MX,2024-09-02 08:00:00
5,5,1,3519.15,0.38,Distribuidora Sabores MX,2024-09-02 08:00:00
6,6,1,11.5,171.77,Distribuidora Sabores MX,2024-09-02 08:00:00
7,7,1,147.99,6.04,Insumos Generales Toluca,2024-09-02 08:00:00
8,8,1,340.94,4.43,Panificadora San José,2024-09-02 08:00:00
9,9,1,28.17,129.99,Carnes Selectas,2024-09-02 08:00:00
10,10,1,24.99,164.59,Lácteos del Valle,2024-09-02 08:00:00
11,11,1,341.02,11.3,Panificadora San José,2024-09-02 08:00:00
12,12,1,15.52,128.97,Lácteos del Valle,2024-09-02 08:00:00
13,13,1,681.96,1.87,Insumos Generales Toluca,2024-09-02 08:00:00
14,14,1,36.46,54.62,Insumos Generales Toluca,2024-09-02 08:00:00
15,15,1,2513.95,1.21,Empaques y Desechables MX,2024-09-02 08:00:00
16,16,1,2036.15,1.47,Empaques y Desechables MX,2024-09-02 08:00:00
17,17,1,3191.27,0.81,Empaques y Desechables MX,2024-09-02 08:00:00
18,18,1,27.99,20.31,Insumos Generales Toluca,2024-09-02 08:00:00
19,1,2,31.11,222.23,Café Origen SA,2024-09-02 08:00:00
20,2,2,338.53,22.89,Lácteos del Valle,2024-09-02 08:00:00
21,3,2,62.81,44.9,Lácteos del Valle,2024-09-02 08:00:00
22,4,2,2562.45,0.34,Distribuidora Sabores MX,2024-09-02 08:00:00
23,5,2,3296.03,0.35,Distribuidora Sabores MX,2024-09-02 08:00:00
24,6,2,18.1,185.36,Distribuidora Sabores MX,2024-09-02 08:00:00
25,7,2,214.43,6.1,Insumos Generales Toluca,2024-09-02 08:00:00
26,8,2,250.31,4.87,Panificadora San José,2024-09-02 08:00:00
27,9,2,24.59,141.81,Carnes Selectas,2024-09-02 08:00:00
28,10,2,18.16,153.29,Lácteos del Valle,2024-09-02 08:00:00
29,11,2,356.3,11.43,Panificadora San José,2024-09-02 08:00:00
30,12,2,12.37,127.58,Lácteos del Valle,2024-09-02 08:00:00
31,13,2,582.36,1.8,Insumos Generales Toluca,2024-09-02 08:00:00
32,14,2,31.34,54.79,Insumos Generales Toluca,2024-09-02 08:00:00
33,15,2,2334.93,1.2,Empaques y Desechables MX,2024-09-02 08:00:00
34,16,2,2369.32,1.54,Empaques y Desechables MX,2024-09-02 08:00:00
35,17,2,3741.16,0.75,Empaques y Desechables MX,2024-09-02 08:00:00
36,18,2,42.73,22.84,Insumos Generales Toluca,2024-09-02 08:00:00
