recipe_id,product_id,ingredient_id,quantity_required
1,1,1,0.018
2,1,2,0.15
3,1,15,1.0
4,2,1,0.018
5,2,2,0.12
6,2,15,1.0
7,3,1,0.02
8,3,15,1.0
9,4,6,0.03
10,4,2,0.18
11,4,15,1.0
12,5,13,1.0
13,5,15,1.0
14,6,1,0.016
15,6,2,0.1
16,6,5,20.0
17,6,7,0.15
18,6,16,1.0
19,7,1,0.018
20,7,2,0.15
21,7,7,0.12
22,7,16,1.0
23,8,1,0.02
24,8,18,0.015
25,8,7,0.15
26,8,16,1.0
27,9,14,0.25
28,9,7,0.1
29,9,16,1.0
30,10,8,2.0
31,10,9,0.08
32,10,10,0.06
33,10,12,0.01
34,10,17,1.0
35,11,11,1.0
36,11,17,1.0
37,12,13,1.0
38,12,7,0.12
39,12,16,1.0
